Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Energy supply investments,Battery storage,NA,NA,NA,NA,US$,BR,2025,1520691824.35178
Energy supply and use,Energy supply investments,Battery storage,NA,NA,NA,NA,US$,BR,2030,1596821546.09381
Energy supply and use,Energy supply investments,Battery storage,NA,NA,NA,NA,US$,BR,2035,1984284494.51287
Energy supply and use,Energy supply investments,Battery storage,NA,NA,NA,NA,US$,BR,2040,2275670974.34726
Energy supply and use,Energy supply investments,Battery storage,NA,NA,NA,NA,US$,BR,2045,3253977197.88748
Energy supply and use,Energy supply investments,Battery storage,NA,NA,NA,NA,US$,BR,2050,1622899938.65563
Energy supply and use,Energy supply investments,Biodiesel (FAME),NA,NA,NA,NA,US$,BR,2025,121827914.49039
Energy supply and use,Energy supply investments,Biodiesel (FAME),NA,NA,NA,NA,US$,BR,2030,2389654644.72465
Energy supply and use,Energy supply investments,Biodiesel (FAME),NA,NA,NA,NA,US$,BR,2035,594606486.48617
Energy supply and use,Energy supply investments,Biodiesel (FAME),NA,NA,NA,NA,US$,BR,2040,80605030.52116
Energy supply and use,Energy supply investments,Biodiesel (FAME),NA,NA,NA,NA,US$,BR,2045,43882716.85262
Energy supply and use,Energy supply investments,Biodiesel (FAME),NA,NA,NA,NA,US$,BR,2050,38748841.02111
Energy supply and use,Energy supply investments,Bioelectricity,NA,NA,NA,NA,US$,BR,2025,187662999.68018
Energy supply and use,Energy supply investments,Bioelectricity,NA,NA,NA,NA,US$,BR,2030,7811710497.0429
Energy supply and use,Energy supply investments,Bioelectricity,NA,NA,NA,NA,US$,BR,2035,2178901996.59703
Energy supply and use,Energy supply investments,Bioelectricity,NA,NA,NA,NA,US$,BR,2040,8864729712.45296
Energy supply and use,Energy supply investments,Bioelectricity,NA,NA,NA,NA,US$,BR,2045,2739840627.10478
Energy supply and use,Energy supply investments,Bioelectricity,NA,NA,NA,NA,US$,BR,2050,2284682727.83221
Energy supply and use,Energy supply investments,Biomethane (biomass gasification),NA,NA,NA,NA,US$,BR,2025,0.0
Energy supply and use,Energy supply investments,Biomethane (biomass gasification),NA,NA,NA,NA,US$,BR,2030,3895470.4804
Energy supply and use,Energy supply investments,Biomethane (biomass gasification),NA,NA,NA,NA,US$,BR,2035,5361446.43791
Energy supply and use,Energy supply investments,Biomethane (biomass gasification),NA,NA,NA,NA,US$,BR,2040,5301431.62314
Energy supply and use,Energy supply investments,Biomethane (biomass gasification),NA,NA,NA,NA,US$,BR,2045,5415126.24995
Energy supply and use,Energy supply investments,Biomethane (biomass gasification),NA,NA,NA,NA,US$,BR,2050,36824317.30279
Energy supply and use,Energy supply investments,CO2 injection,NA,NA,NA,NA,US$,BR,2025,160552623.38432
Energy supply and use,Energy supply investments,CO2 injection,NA,NA,NA,NA,US$,BR,2030,625964.8038
Energy supply and use,Energy supply investments,CO2 injection,NA,NA,NA,NA,US$,BR,2035,24318613894.34616
Energy supply and use,Energy supply investments,CO2 injection,NA,NA,NA,NA,US$,BR,2040,15045995823.10225
Energy supply and use,Energy supply investments,CO2 injection,NA,NA,NA,NA,US$,BR,2045,8675401395.12288
Energy supply and use,Energy supply investments,CO2 injection,NA,NA,NA,NA,US$,BR,2050,5088219036.55164
Energy supply and use,Energy supply investments,CO2 pipeline,NA,NA,NA,NA,US$,BR,2025,108540309.33265
Energy supply and use,Energy supply investments,CO2 pipeline,NA,NA,NA,NA,US$,BR,2030,127244.36126
Energy supply and use,Energy supply investments,CO2 pipeline,NA,NA,NA,NA,US$,BR,2035,3264300761.24345
Energy supply and use,Energy supply investments,CO2 pipeline,NA,NA,NA,NA,US$,BR,2040,1647951629.23926
Energy supply and use,Energy supply investments,CO2 pipeline,NA,NA,NA,NA,US$,BR,2045,1613363720.34855
Energy supply and use,Energy supply investments,CO2 pipeline,NA,NA,NA,NA,US$,BR,2050,902370516.72764
Energy supply and use,Energy supply investments,Charcoal (carbonization),NA,NA,NA,NA,US$,BR,2025,6421020.94115
Energy supply and use,Energy supply investments,Charcoal (carbonization),NA,NA,NA,NA,US$,BR,2030,18825.9982
Energy supply and use,Energy supply investments,Charcoal (carbonization),NA,NA,NA,NA,US$,BR,2035,39046.45735
Energy supply and use,Energy supply investments,Charcoal (carbonization),NA,NA,NA,NA,US$,BR,2040,119680.40302
Energy supply and use,Energy supply investments,Charcoal (carbonization),NA,NA,NA,NA,US$,BR,2045,126926.85509
Energy supply and use,Energy supply investments,Charcoal (carbonization),NA,NA,NA,NA,US$,BR,2050,6354167.34497
