Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G,GWh,BR,2025,3952.7227
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G,GWh,BR,2030,9822.6892
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G,GWh,BR,2035,111.85418
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G,GWh,BR,2040,152.02846
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G,GWh,BR,2045,33.91434
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G,GWh,BR,2050,25.69763
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G with CCS,GWh,BR,2025,0.0
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G with CCS,GWh,BR,2030,3.41072
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G with CCS,GWh,BR,2035,4.06927
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G with CCS,GWh,BR,2040,88.03817
Non-fossil end-use fuels (including biofuels),"Biofuels, synthesized fuels and hydrogen production by technology",Energy,Fuel production,Hydrous ethanol,Corn,1G with CCS,GWh,BR,2045,35.45561
