Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,N/A,GW,BR,2025,2.81893
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,N/A,GW,BR,2030,3.7162
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,N/A,GW,BR,2035,6.18685
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,N/A,GW,BR,2040,8.18679
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,N/A,GW,BR,2045,10.04982
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,N/A,GW,BR,2050,10.28071
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GW,BR,2025,2.93757
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GW,BR,2030,2.89774
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GW,BR,2035,2.89819
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GW,BR,2040,1.85496
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GW,BR,2045,0.40669
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GW,BR,2050,0.028
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GW,BR,2025,0.17295
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GW,BR,2030,0.03359
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GW,BR,2035,0.03057
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GW,BR,2040,0.26895
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GW,BR,2045,0.06209
Power,Installed capacity by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GW,BR,2050,0.22022
Power,Installed capacity by type,Energy,Electricity generation,Amazonas,Hydropower,Reservoir,GW,BR,2025,0.98468
Power,Installed capacity by type,Energy,Electricity generation,Amazonas,Hydropower,Reservoir,GW,BR,2030,0.98468
Power,Installed capacity by type,Energy,Electricity generation,Amazonas,Hydropower,Reservoir,GW,BR,2035,0.98468
Power,Installed capacity by type,Energy,Electricity generation,Amazonas,Hydropower,Reservoir,GW,BR,2040,0.98468
Power,Installed capacity by type,Energy,Electricity generation,Amazonas,Hydropower,Reservoir,GW,BR,2045,0.98468
