Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Power installed capacity,Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2025,3.02949
Energy supply and use,Power installed capacity,Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2030,6.33539
Energy supply and use,Power installed capacity,Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2035,9.54589
Energy supply and use,Power installed capacity,Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2040,13.1566
Energy supply and use,Power installed capacity,Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2045,16.29803
Energy supply and use,Power installed capacity,Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2050,19.84561
Energy supply and use,Power installed capacity,Coal,NA,Electricity generation (public service),NA,NA,GW,BR,2025,2.95068
Energy supply and use,Power installed capacity,Coal,NA,Electricity generation (public service),NA,NA,GW,BR,2030,2.89002
Energy supply and use,Power installed capacity,Coal,NA,Electricity generation (public service),NA,NA,GW,BR,2035,2.89127
Energy supply and use,Power installed capacity,Coal,NA,Electricity generation (public service),NA,NA,GW,BR,2040,1.80301
Energy supply and use,Power installed capacity,Coal,NA,Electricity generation (public service),NA,NA,GW,BR,2045,1.71191
Energy supply and use,Power installed capacity,Coal,NA,Electricity generation (public service),NA,NA,GW,BR,2050,0.06121
Energy supply and use,Power installed capacity,Hydrogen,NA,Electricity generation (public service),NA,NA,GW,BR,2025,0.20205
Energy supply and use,Power installed capacity,Hydrogen,NA,Electricity generation (public service),NA,NA,GW,BR,2030,0.02487
Energy supply and use,Power installed capacity,Hydrogen,NA,Electricity generation (public service),NA,NA,GW,BR,2035,0.02458
Energy supply and use,Power installed capacity,Hydrogen,NA,Electricity generation (public service),NA,NA,GW,BR,2040,0.02544
Energy supply and use,Power installed capacity,Hydrogen,NA,Electricity generation (public service),NA,NA,GW,BR,2045,0.02699
Energy supply and use,Power installed capacity,Hydrogen,NA,Electricity generation (public service),NA,NA,GW,BR,2050,0.30837
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Amazonas,NA,GW,BR,2025,0.98468
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Amazonas,NA,GW,BR,2030,0.98468
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Amazonas,NA,GW,BR,2035,0.98468
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Amazonas,NA,GW,BR,2040,0.98468
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Amazonas,NA,GW,BR,2045,0.98468
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Amazonas,NA,GW,BR,2050,0.98468
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Doce,NA,GW,BR,2025,0.112
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Doce,NA,GW,BR,2030,0.112
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Doce,NA,GW,BR,2035,0.112
