Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2025,3.02949
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2030,3.30891
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2035,3.47257
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2040,3.6113
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2045,3.14157
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BR,2050,3.54825
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2025,0.01946
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2030,2e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2035,5e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2040,5e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2045,0.0001
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Rooftop,Electricity generation (public service),NA,NA,GW,BR,2050,0.01777
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2025,0.23063
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2030,14.95032
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2035,14.38
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2040,14.06079
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2045,20.44917
Energy supply and use,"Solar, wind and battery average annual capacity additions",Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,GW,BR,2050,27.22124
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2025,0.00212
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2030,1e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2035,2e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2040,2e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2045,0.00067
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Offshore,Electricity generation (public service),NA,NA,GW,BR,2050,0.00569
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Onshore,Electricity generation (public service),NA,NA,GW,BR,2025,1.72385
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Onshore,Electricity generation (public service),NA,NA,GW,BR,2030,10.01779
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Onshore,Electricity generation (public service),NA,NA,GW,BR,2035,21.17558
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Onshore,Electricity generation (public service),NA,NA,GW,BR,2040,3.33601
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Onshore,Electricity generation (public service),NA,NA,GW,BR,2045,21.42167
Energy supply and use,"Solar, wind and battery average annual capacity additions",Wind,Onshore,Electricity generation (public service),NA,NA,GW,BR,2050,19.2593
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AC,2025,0.07256
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AC,2030,0.00052
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AC,2035,0.00069
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AC,2040,0.27863
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AC,2045,0.06173
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AC,2050,0.01856
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AL,2025,0.06062
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AL,2030,0.00041
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AL,2035,0.00127
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AL,2040,0.00115
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AL,2045,0.12113
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AL,2050,0.06119
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AM,2025,0.0587
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AM,2030,0.00012
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AM,2035,0.00042
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AM,2040,0.18379
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AM,2045,0.00048
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AM,2050,0.03779
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AP,2025,0.0434
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AP,2030,9e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AP,2035,0.00032
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AP,2040,0.01013
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AP,2045,0.00303
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,AP,2050,0.14876
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BA,2025,0.0655
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BA,2030,0.39314
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BA,2035,0.07711
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BA,2040,0.94052
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BA,2045,0.3386
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,BA,2050,0.0026
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,CE,2025,0.07587
