Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,Discharge,GWh,BR,2025,4589.77574
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,Discharge,GWh,BR,2030,4461.87687
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,Discharge,GWh,BR,2035,6242.27312
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,Discharge,GWh,BR,2040,7265.11174
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,Discharge,GWh,BR,2045,5235.31767
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Battery storage,Discharge,GWh,BR,2050,5614.98226
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (biomethane plants),GWh,BR,2025,0.0
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (biomethane plants),GWh,BR,2030,0.0
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (biomethane plants),GWh,BR,2035,0.86292
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (biomethane plants),GWh,BR,2040,13.04256
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (biomethane plants),GWh,BR,2045,18.38983
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (biomethane plants),GWh,BR,2050,18.01774
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (ethanol plants),GWh,BR,2025,6281.96899
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (ethanol plants),GWh,BR,2030,7946.18988
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (ethanol plants),GWh,BR,2035,16443.14327
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (ethanol plants),GWh,BR,2040,26151.47388
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (ethanol plants),GWh,BR,2045,33769.8276
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Cogeneration (ethanol plants),GWh,BR,2050,37961.40791
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood,GWh,BR,2025,22019.08793
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood,GWh,BR,2030,84486.85478
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood,GWh,BR,2035,142015.77853
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood,GWh,BR,2040,232908.7756
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood,GWh,BR,2045,318766.87002
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood,GWh,BR,2050,367466.03287
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood with CCS,GWh,BR,2025,0.0
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood with CCS,GWh,BR,2030,0.0
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood with CCS,GWh,BR,2035,4.31501
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood with CCS,GWh,BR,2040,46.98149
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood with CCS,GWh,BR,2045,62.79613
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Dedicated wood with CCS,GWh,BR,2050,17882.28187
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue,GWh,BR,2025,6231.53727
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue,GWh,BR,2030,6569.7266
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue,GWh,BR,2035,5657.36605
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue,GWh,BR,2040,12879.21806
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue,GWh,BR,2045,9387.18521
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue,GWh,BR,2050,10624.64473
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue with CCS,GWh,BR,2025,0.0
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue with CCS,GWh,BR,2030,0.0
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue with CCS,GWh,BR,2035,3.20504
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue with CCS,GWh,BR,2040,45.71161
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue with CCS,GWh,BR,2045,47.85403
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Bioelectricity,Residue with CCS,GWh,BR,2050,62.49494
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GWh,BR,2025,17073.04506
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GWh,BR,2030,10187.95792
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GWh,BR,2035,12183.62806
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GWh,BR,2040,7195.70572
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GWh,BR,2045,1495.94762
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Coal,N/A,GWh,BR,2050,89.51552
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GWh,BR,2025,617.9026
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GWh,BR,2030,113.78419
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GWh,BR,2035,98.68128
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GWh,BR,2040,1050.6782
Power,Power generation by type,Energy,Electricity generation,Electricity generation (public service),Hydrogen,N/A,GWh,BR,2045,250.6025
