Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Transmission lines,Interregional,Belo Monte→Sudeste,NA,NA,NA,GW,BR,2025,8.0
Energy supply and use,Transmission lines,Interregional,Belo Monte→Sudeste,NA,NA,NA,GW,BR,2030,8.0
Energy supply and use,Transmission lines,Interregional,Belo Monte→Sudeste,NA,NA,NA,GW,BR,2035,8.0
Energy supply and use,Transmission lines,Interregional,Belo Monte→Sudeste,NA,NA,NA,GW,BR,2040,8.0
Energy supply and use,Transmission lines,Interregional,Belo Monte→Sudeste,NA,NA,NA,GW,BR,2045,8.0
Energy supply and use,Transmission lines,Interregional,Belo Monte→Sudeste,NA,NA,NA,GW,BR,2050,8.0
Energy supply and use,Transmission lines,Interregional,Itaipu→Sudeste,NA,NA,NA,GW,BR,2025,10.0
Energy supply and use,Transmission lines,Interregional,Itaipu→Sudeste,NA,NA,NA,GW,BR,2030,10.0
Energy supply and use,Transmission lines,Interregional,Itaipu→Sudeste,NA,NA,NA,GW,BR,2035,10.0
Energy supply and use,Transmission lines,Interregional,Itaipu→Sudeste,NA,NA,NA,GW,BR,2040,10.0
Energy supply and use,Transmission lines,Interregional,Itaipu→Sudeste,NA,NA,NA,GW,BR,2045,10.0
Energy supply and use,Transmission lines,Interregional,Itaipu→Sudeste,NA,NA,NA,GW,BR,2050,10.0
Energy supply and use,Transmission lines,Interregional,Nordeste–IMP,NA,NA,NA,GW,BR,2025,6.09248
Energy supply and use,Transmission lines,Interregional,Nordeste–IMP,NA,NA,NA,GW,BR,2030,6.0926
Energy supply and use,Transmission lines,Interregional,Nordeste–IMP,NA,NA,NA,GW,BR,2035,6.09267
Energy supply and use,Transmission lines,Interregional,Nordeste–IMP,NA,NA,NA,GW,BR,2040,6.09274
Energy supply and use,Transmission lines,Interregional,Nordeste–IMP,NA,NA,NA,GW,BR,2045,6.09341
Energy supply and use,Transmission lines,Interregional,Nordeste–IMP,NA,NA,NA,GW,BR,2050,6.11804
Energy supply and use,Transmission lines,Interregional,Nordeste–Sudeste,NA,NA,NA,GW,BR,2025,9.91151
Energy supply and use,Transmission lines,Interregional,Nordeste–Sudeste,NA,NA,NA,GW,BR,2030,11.57462
Energy supply and use,Transmission lines,Interregional,Nordeste–Sudeste,NA,NA,NA,GW,BR,2035,19.38917
Energy supply and use,Transmission lines,Interregional,Nordeste–Sudeste,NA,NA,NA,GW,BR,2040,19.38929
Energy supply and use,Transmission lines,Interregional,Nordeste–Sudeste,NA,NA,NA,GW,BR,2045,25.57446
Energy supply and use,Transmission lines,Interregional,Nordeste–Sudeste,NA,NA,NA,GW,BR,2050,30.22553
Energy supply and use,Transmission lines,Interregional,Norte–IMP,NA,NA,NA,GW,BR,2025,5.70211
Energy supply and use,Transmission lines,Interregional,Norte–IMP,NA,NA,NA,GW,BR,2030,6.11361
Energy supply and use,Transmission lines,Interregional,Norte–IMP,NA,NA,NA,GW,BR,2035,8.09091
Energy supply and use,Transmission lines,Interregional,Norte–IMP,NA,NA,NA,GW,BR,2040,8.09096
Energy supply and use,Transmission lines,Interregional,Norte–IMP,NA,NA,NA,GW,BR,2045,8.09106
Energy supply and use,Transmission lines,Interregional,Norte–IMP,NA,NA,NA,GW,BR,2050,8.09349
Energy supply and use,Transmission lines,Interregional,Sudeste–IMP,NA,NA,NA,GW,BR,2025,9.11115
Energy supply and use,Transmission lines,Interregional,Sudeste–IMP,NA,NA,NA,GW,BR,2030,9.11125
Energy supply and use,Transmission lines,Interregional,Sudeste–IMP,NA,NA,NA,GW,BR,2035,9.1113
Energy supply and use,Transmission lines,Interregional,Sudeste–IMP,NA,NA,NA,GW,BR,2040,9.11139
Energy supply and use,Transmission lines,Interregional,Sudeste–IMP,NA,NA,NA,GW,BR,2045,9.11194
Energy supply and use,Transmission lines,Interregional,Sudeste–IMP,NA,NA,NA,GW,BR,2050,9.11535
Energy supply and use,Transmission lines,Interregional,Sudeste→Sul,NA,NA,NA,GW,BR,2025,11.45663
Energy supply and use,Transmission lines,Interregional,Sudeste→Sul,NA,NA,NA,GW,BR,2030,11.4567
Energy supply and use,Transmission lines,Interregional,Sudeste→Sul,NA,NA,NA,GW,BR,2035,11.45699
Energy supply and use,Transmission lines,Interregional,Sudeste→Sul,NA,NA,NA,GW,BR,2040,11.45706
Energy supply and use,Transmission lines,Interregional,Sudeste→Sul,NA,NA,NA,GW,BR,2045,11.45711
Energy supply and use,Transmission lines,Interregional,Sudeste→Sul,NA,NA,NA,GW,BR,2050,11.464
Energy supply and use,Transmission lines,Interregional,Sul→Sudeste,NA,NA,NA,GW,BR,2025,8.0021
Energy supply and use,Transmission lines,Interregional,Sul→Sudeste,NA,NA,NA,GW,BR,2030,8.00257
Energy supply and use,Transmission lines,Interregional,Sul→Sudeste,NA,NA,NA,GW,BR,2035,8.00263
Energy supply and use,Transmission lines,Interregional,Sul→Sudeste,NA,NA,NA,GW,BR,2040,8.00274
Energy supply and use,Transmission lines,Interregional,Sul→Sudeste,NA,NA,NA,GW,BR,2045,8.00274
Energy supply and use,Transmission lines,Interregional,Sul→Sudeste,NA,NA,NA,GW,BR,2050,8.00276
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–AL,NA,NA,NA,GW,BR,2025,1.00139
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–AL,NA,NA,NA,GW,BR,2030,1.0014
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–AL,NA,NA,NA,GW,BR,2035,1.00145
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–AL,NA,NA,NA,GW,BR,2040,1.00149
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–AL,NA,NA,NA,GW,BR,2045,1.08943
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–AL,NA,NA,NA,GW,BR,2050,1.3093
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–BA,NA,NA,NA,GW,BR,2025,2.95326
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–BA,NA,NA,NA,GW,BR,2030,3.24873
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–BA,NA,NA,NA,GW,BR,2035,3.72395
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–BA,NA,NA,NA,GW,BR,2040,4.14029
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–BA,NA,NA,NA,GW,BR,2045,4.74475
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–BA,NA,NA,NA,GW,BR,2050,5.72828
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–CE,NA,NA,NA,GW,BR,2025,1.75373
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–CE,NA,NA,NA,GW,BR,2030,1.75373
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–CE,NA,NA,NA,GW,BR,2035,1.93969
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–CE,NA,NA,NA,GW,BR,2040,2.63217
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–CE,NA,NA,NA,GW,BR,2045,3.33924
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–CE,NA,NA,NA,GW,BR,2050,5.13807
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–MA,NA,NA,NA,GW,BR,2025,1.00106
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–MA,NA,NA,NA,GW,BR,2030,1.25208
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–MA,NA,NA,NA,GW,BR,2035,1.33767
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–MA,NA,NA,NA,GW,BR,2040,1.9037
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–MA,NA,NA,NA,GW,BR,2045,1.90374
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–MA,NA,NA,NA,GW,BR,2050,2.44251
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PB,NA,NA,NA,GW,BR,2025,1.00249
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PB,NA,NA,NA,GW,BR,2030,1.00255
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PB,NA,NA,NA,GW,BR,2035,1.00258
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PB,NA,NA,NA,GW,BR,2040,1.13904
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PB,NA,NA,NA,GW,BR,2045,1.40688
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PB,NA,NA,NA,GW,BR,2050,1.69195
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PE,NA,NA,NA,GW,BR,2025,1.58121
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PE,NA,NA,NA,GW,BR,2030,6.04948
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PE,NA,NA,NA,GW,BR,2035,6.04956
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PE,NA,NA,NA,GW,BR,2040,7.42452
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PE,NA,NA,NA,GW,BR,2045,7.42453
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PE,NA,NA,NA,GW,BR,2050,7.42464
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PI,NA,NA,NA,GW,BR,2025,3.3602
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PI,NA,NA,NA,GW,BR,2030,3.36021
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PI,NA,NA,NA,GW,BR,2035,3.36025
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PI,NA,NA,NA,GW,BR,2040,3.36043
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PI,NA,NA,NA,GW,BR,2045,3.36047
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–PI,NA,NA,NA,GW,BR,2050,3.36053
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–RN,NA,NA,NA,GW,BR,2025,6.66616
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–RN,NA,NA,NA,GW,BR,2030,6.66619
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–RN,NA,NA,NA,GW,BR,2035,19.31382
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–RN,NA,NA,NA,GW,BR,2040,19.31429
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–RN,NA,NA,NA,GW,BR,2045,28.70895
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–RN,NA,NA,NA,GW,BR,2050,37.04577
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–SE,NA,NA,NA,GW,BR,2025,1.0014
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–SE,NA,NA,NA,GW,BR,2030,1.00142
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–SE,NA,NA,NA,GW,BR,2035,1.00143
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–SE,NA,NA,NA,GW,BR,2040,1.00148
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–SE,NA,NA,NA,GW,BR,2045,1.00157
Energy supply and use,Transmission lines,Subsystem to state,Nordeste–SE,NA,NA,NA,GW,BR,2050,1.00187
Energy supply and use,Transmission lines,Subsystem to state,Norte–AM,NA,NA,NA,GW,BR,2025,1.19545
Energy supply and use,Transmission lines,Subsystem to state,Norte–AM,NA,NA,NA,GW,BR,2030,1.36122
Energy supply and use,Transmission lines,Subsystem to state,Norte–AM,NA,NA,NA,GW,BR,2035,1.50882
Energy supply and use,Transmission lines,Subsystem to state,Norte–AM,NA,NA,NA,GW,BR,2040,1.6166
Energy supply and use,Transmission lines,Subsystem to state,Norte–AM,NA,NA,NA,GW,BR,2045,1.92525
Energy supply and use,Transmission lines,Subsystem to state,Norte–AM,NA,NA,NA,GW,BR,2050,2.25451
Energy supply and use,Transmission lines,Subsystem to state,Norte–AP,NA,NA,NA,GW,BR,2025,1.00268
Energy supply and use,Transmission lines,Subsystem to state,Norte–AP,NA,NA,NA,GW,BR,2030,1.00274
Energy supply and use,Transmission lines,Subsystem to state,Norte–AP,NA,NA,NA,GW,BR,2035,1.00279
Energy supply and use,Transmission lines,Subsystem to state,Norte–AP,NA,NA,NA,GW,BR,2040,1.00283
Energy supply and use,Transmission lines,Subsystem to state,Norte–AP,NA,NA,NA,GW,BR,2045,1.00292
Energy supply and use,Transmission lines,Subsystem to state,Norte–AP,NA,NA,NA,GW,BR,2050,1.00388
Energy supply and use,Transmission lines,Subsystem to state,Norte–PA,NA,NA,NA,GW,BR,2025,2.00014
Energy supply and use,Transmission lines,Subsystem to state,Norte–PA,NA,NA,NA,GW,BR,2030,2.32542
Energy supply and use,Transmission lines,Subsystem to state,Norte–PA,NA,NA,NA,GW,BR,2035,2.6149
Energy supply and use,Transmission lines,Subsystem to state,Norte–PA,NA,NA,NA,GW,BR,2040,3.12137
Energy supply and use,Transmission lines,Subsystem to state,Norte–PA,NA,NA,NA,GW,BR,2045,3.68674
Energy supply and use,Transmission lines,Subsystem to state,Norte–PA,NA,NA,NA,GW,BR,2050,4.33555
Energy supply and use,Transmission lines,Subsystem to state,Norte–RR,NA,NA,NA,GW,BR,2025,1.00152
Energy supply and use,Transmission lines,Subsystem to state,Norte–RR,NA,NA,NA,GW,BR,2030,1.00167
Energy supply and use,Transmission lines,Subsystem to state,Norte–RR,NA,NA,NA,GW,BR,2035,1.00171
Energy supply and use,Transmission lines,Subsystem to state,Norte–RR,NA,NA,NA,GW,BR,2040,1.00175
Energy supply and use,Transmission lines,Subsystem to state,Norte–RR,NA,NA,NA,GW,BR,2045,1.00182
Energy supply and use,Transmission lines,Subsystem to state,Norte–RR,NA,NA,NA,GW,BR,2050,1.00258
Energy supply and use,Transmission lines,Subsystem to state,Norte–TO,NA,NA,NA,GW,BR,2025,1.00176
Energy supply and use,Transmission lines,Subsystem to state,Norte–TO,NA,NA,NA,GW,BR,2030,1.00182
Energy supply and use,Transmission lines,Subsystem to state,Norte–TO,NA,NA,NA,GW,BR,2035,1.00188
Energy supply and use,Transmission lines,Subsystem to state,Norte–TO,NA,NA,NA,GW,BR,2040,1.00188
Energy supply and use,Transmission lines,Subsystem to state,Norte–TO,NA,NA,NA,GW,BR,2045,1.00215
Energy supply and use,Transmission lines,Subsystem to state,Norte–TO,NA,NA,NA,GW,BR,2050,1.00299
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–DF,NA,NA,NA,GW,BR,2025,1.00406
