Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Underground carbon storage,CO2 storage,NA,NA,NA,NA,NA,MtCO2/year,BR,2025,0.29835
Underground carbon storage,CO2 storage,NA,NA,NA,NA,NA,MtCO2/year,BR,2030,0.44408
Underground carbon storage,CO2 storage,NA,NA,NA,NA,NA,MtCO2/year,BR,2035,133.17953
Underground carbon storage,CO2 storage,NA,NA,NA,NA,NA,MtCO2/year,BR,2040,253.11424
Underground carbon storage,CO2 storage,NA,NA,NA,NA,NA,MtCO2/year,BR,2045,368.91382
Underground carbon storage,CO2 storage,NA,NA,NA,NA,NA,MtCO2/year,BR,2050,516.40528
Underground carbon storage,CO2 storage,Campos,NA,NA,NA,NA,MtCO2/year,RJ,2025,0.00748
Underground carbon storage,CO2 storage,Campos,NA,NA,NA,NA,MtCO2/year,RJ,2030,0.01628
Underground carbon storage,CO2 storage,Campos,NA,NA,NA,NA,MtCO2/year,RJ,2035,0.69997
Underground carbon storage,CO2 storage,Campos,NA,NA,NA,NA,MtCO2/year,RJ,2040,0.69999
Underground carbon storage,CO2 storage,Campos,NA,NA,NA,NA,MtCO2/year,RJ,2045,0.69999
Underground carbon storage,CO2 storage,Campos,NA,NA,NA,NA,MtCO2/year,RJ,2050,0.69997
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,CE,2025,0.00409
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,CE,2030,0.01291
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,CE,2035,0.10253
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,CE,2040,0.10271
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,CE,2045,0.1027
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,CE,2050,0.10204
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,MA,2025,0.00366
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,MA,2030,0.01202
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,MA,2035,0.09909
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,MA,2040,0.09899
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,MA,2045,0.099
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,MA,2050,0.10084
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,PI,2025,0.00381
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,PI,2030,0.01215
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,PI,2035,0.09837
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,PI,2040,0.0983
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,PI,2045,0.0983
Underground carbon storage,CO2 storage,Ceará,NA,NA,NA,NA,MtCO2/year,PI,2050,0.09715
Underground carbon storage,CO2 storage,Espírito Santo,NA,NA,NA,NA,MtCO2/year,ES,2025,0.00937
Underground carbon storage,CO2 storage,Espírito Santo,NA,NA,NA,NA,MtCO2/year,ES,2030,0.0179
Underground carbon storage,CO2 storage,Espírito Santo,NA,NA,NA,NA,MtCO2/year,ES,2035,0.48717
Underground carbon storage,CO2 storage,Espírito Santo,NA,NA,NA,NA,MtCO2/year,ES,2040,0.74935
Underground carbon storage,CO2 storage,Espírito Santo,NA,NA,NA,NA,MtCO2/year,ES,2045,3.50739
Underground carbon storage,CO2 storage,Espírito Santo,NA,NA,NA,NA,MtCO2/year,ES,2050,4.00056
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,MS,2025,0.02733
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,MS,2030,0.03576
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,MS,2035,40.97164
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,MS,2040,76.33132
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,MS,2045,108.21463
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,MS,2050,158.37653
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,PR,2025,0.02658
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,PR,2030,0.03158
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,PR,2035,3.12646
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,PR,2040,3.17714
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,PR,2045,3.54746
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,PR,2050,27.93763
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,RS,2025,0.02061
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,RS,2030,0.02487
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,RS,2035,0.10298
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,RS,2040,0.10819
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,RS,2045,0.11911
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,RS,2050,1.10169
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SC,2025,0.01934
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SC,2030,0.02482
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SC,2035,0.12819
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SC,2040,0.13607
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SC,2045,0.14896
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SC,2050,15.18744
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SP,2025,0.03294
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SP,2030,0.03722
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SP,2035,17.48964
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SP,2040,60.8266
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SP,2045,98.95647
Underground carbon storage,CO2 storage,Paraná,NA,NA,NA,NA,MtCO2/year,SP,2050,103.66252
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AC,2025,0.00376
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AC,2030,0.00275
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AC,2035,0.0038
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AC,2040,0.00395
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AC,2045,0.0036
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AC,2050,0.0101
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AM,2025,0.00402
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AM,2030,0.00251
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AM,2035,0.00384
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AM,2040,0.00398
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AM,2045,0.00372
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AM,2050,0.0085
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AP,2025,0.003
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AP,2030,0.00098
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AP,2035,0.00122
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AP,2040,0.00123
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AP,2045,0.00127
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,AP,2050,0.00567
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,MT,2025,0.02121
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,MT,2030,0.02978
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,MT,2035,48.22285
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,MT,2040,88.9571
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,MT,2045,88.96343
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,MT,2050,88.93119
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,PA,2025,0.00604
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,PA,2030,0.00699
Underground carbon storage,CO2 storage,Parecis,NA,NA,NA,NA,MtCO2/year,PA,2035,0.0097
