Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Underground carbon storage,CO2 transport,Energy,Carbon storage,Campos,N/A,Pipeline,km,RJ,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Campos,N/A,Pipeline,km,RJ,2030,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Campos,N/A,Pipeline,km,RJ,2035,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Campos,N/A,Pipeline,km,RJ,2040,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Campos,N/A,Pipeline,km,RJ,2045,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Campos,N/A,Pipeline,km,RJ,2050,300.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,CE,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,CE,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,CE,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,CE,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,CE,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,CE,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,MA,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,MA,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,MA,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,MA,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,MA,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,MA,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,PI,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,PI,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,PI,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,PI,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,PI,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Ceará,N/A,Pipeline,km,PI,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Espírito Santo,N/A,Pipeline,km,ES,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Espírito Santo,N/A,Pipeline,km,ES,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Espírito Santo,N/A,Pipeline,km,ES,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Espírito Santo,N/A,Pipeline,km,ES,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Espírito Santo,N/A,Pipeline,km,ES,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Espírito Santo,N/A,Pipeline,km,ES,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Paraná,N/A,Pipeline,km,MS,2025,0.0
