id,Variable_group,Variable name,Unit,Descricao
18,Emissions,Emissions and removals,tCO2e GWP100-AR5,"Emissões de CO2 do sistema energético mais um bloco exógeno que cobre indústria, resíduos e agropecuária. Soma dos fluxos positivos que entram no nó de emissões, excluindo a combustão de origem biomássica (Class_4 em E.BIOGENICO_CLASS4). Desde 16/09/2026 esta variável já sai líquida da combustão de biomassa, que antes se cancelava com a id 19 — some com a id 19 (Removal by CCS only) para o líquido do sistema. Class_5 é o gás; a lista de rótulos biogênicos está no LEIA-ME."
19,Emissions,Emissions and removals,tCO2e GWP100-AR5,"Removal by CCS only: CO2 efetivamente capturado e enviado para armazenamento por rotas biogênicas e por captura direta do ar, ligado à matéria-prima que o originou. Desde 16/09/2026 deixou de ser a absorção bruta da biomassa (co2_content) e passou a medir a captura (capture_rate) — rota sem CCS sai com valor zero, e o CCS fóssil fica de fora porque já é líquido na id 18. As classes seguem o diagrama de rotas da equipe, porque o SEEG é uma taxonomia de emissão e não tem galho para remoção. Mede quase a mesma coisa que o CO2 estocado por bacia (id 73), vista de outro ponto da rede — captação na origem aqui, injeção no reservatório lá; os dois só divergem pelo tanto capturado em CCS fóssil."
24,Energy supply and use,Total energy system cost,US$,"Custo total do sistema energético do período, em valor presente descontado ao ano-base a 4,5% a.a. Soma de investimento, O&M fixo, O&M variável e suprimento, descontando o suprimento de gasolina, diesel e querosene fósseis. Como é valor presente do quinquênio e não custo anual, a queda ao longo do horizonte reflete em boa parte o desconto, não barateamento."
26,Energy supply and use,Energy supply investments,US$,"Investimento em oferta de energia por tecnologia, no mesmo critério de valor presente da id 24. Filtra a categoria de investimento no custo por tipo e descarta a linha agregada; a soma por ano fecha com o total do modelo. Solar e eólica vêm agregadas num único tipo, o maior item do horizonte — separá-las exige outra fonte."
27,Energy supply and use,Demand side energy capital,US$,"Despesa com os quatro combustíveis fósseis de uso final — diesel, gasolina, querosene de aviação e gás natural — lida no custo de suprimento dos nós correspondentes, com a linha de total junto no arquivo. Sai aberta por portador porque é insumo para a equipe de uso final, que faz a distribuição por setor a partir daqui; o MACRO não separa transportes de indústria. É valor descontado, como o da id 24, e não é complementar dela: o gás natural aparece nas duas."
55,Energy supply and use,Primary energy supply by source,GWh,"Energia primária que entra no sistema, agregada nas fontes da matriz energética do BEN e separada em renovável e não renovável. Vem do saldo líquido dos nós de recurso; para solar, eólica e hidráulica usa-se a própria geração e o urânio já vem como energia térmica de entrada no reator, as duas convenções do BEN. Diesel, gasolina e querosene são derivados, não energia primária: viram uma linha só de petróleo bruto, pelos rendimentos médios do refino brasileiro, tomando o maior dos três e não a soma — cada divisão devolve o barril inteiro, e somar triplicaria. A biomassa, que o modelo trata em toneladas, é convertida para energia em PCS por uma tabela editável no código; atenção, o lado fóssil do modelo está em PCI, então a matriz hoje mistura as duas bases. Sai com o total nacional e o recorte espacial no mesmo arquivo: biomassa, solar e eólica por estado, hidráulica por bacia, e as fontes que no modelo são um ativo único do país só na linha BR."
56,Energy supply and use,Energy demand,GWh,"Consumo final de energia agrupado por portador — uma linha por portador e por ano. Para os combustíveis vem do saldo dos nós de demanda, e não das arestas de uso final, porque parte do combustível fóssil chega ao nó por outro caminho; para a eletricidade vem do saldo dos nós estaduais, já líquido das perdas de transmissão. Os nós de mandato entram somados ao portador, o recorte por setor de uso fica com a outra equipe, e a abertura da eletricidade entre uso intermediário e final é a id 57."
65,Energy supply and use,"Biofuels, synthesized fuels and hydrogen production by technology",GWh,"Produção de biocombustíveis, combustíveis sintéticos e hidrogênio, aberta em produto, matéria-prima e tecnologia. O produto é identificado pelo nó de destino, que o modelo separa do equivalente fóssil, e não pela commodity, que não distingue diesel renovável de fóssil. Sai com o total nacional e por UF no mesmo arquivo — filtrar Territory antes de somar. É produção bruta, sem descontar o que volta a ser insumo de outro processo, e inclui hidrogênio de gás natural, explicitado na tecnologia."
66,Energy supply and use,Power installed capacity,GW,"Capacidade elétrica instalada por fonte, em estoque — capacidade do período anterior mais adições menos aposentadorias, conferido nos seis períodos. Exclui armazenamento em energia, transmissão, e a duplicata do reservatório hidrelétrico, que aparece duas vezes no arquivo de origem. Sai com o total nacional e o recorte espacial no mesmo arquivo — filtrar Territory antes de somar; as hidrelétricas aparecem por bacia hidrográfica, porque o modelo não lhes atribui UF. Não inclui bioeletricidade, cuja capacidade o modelo registra em MW de biomassa de entrada e não em MW elétricos, embora ela responda por 14% da geração em 2050."
67,Energy supply and use,"Solar, wind and battery average annual capacity additions",GW,"Capacidade nova de solar, eólica e baterias adicionada em cada período. Adição bruta, sem descontar aposentadorias; o fechamento com a id 66 foi conferido. Sai com o total nacional e por UF no mesmo arquivo — filtrar Territory antes de somar. O valor é do quinquênio inteiro e não a média anual: dividir por cinco contradiz a resolução temporal declarada, e a série é serrilhada por efeito da otimização míope, que alterna entre solar e eólica de período a período."
